l_english:
 VICTORY_POINTS_TOOLTIP:0 "§G$NAME$§! victory points = §Y$POINTS$§!"
 VICTORY_POINTS_2176:0 "Patch"
 VICTORY_POINTS_1678:0 "Patch1"
 VICTORY_POINTS_1760:0 "Patch1"
 VICTORY_POINTS_2171:0 "Patch1"
 VICTORY_POINTS_2314:0 "Patch1"
 VICTORY_POINTS_1488:0 "Patch1"

 VICTORY_POINTS_2367:0 "Patch1"
 VICTORY_POINTS_961:0 "Patch1"
 VICTORY_POINTS_1322:0 "Patch1"
 VICTORY_POINTS_94:0 "Patch1"
 VICTORY_POINTS_1705:0 "Patch1"
 VICTORY_POINTS_324:0 "Patch1"
 VICTORY_POINTS_897:0 "Patch1"
 VICTORY_POINTS_289:0 "Patch1"
 VICTORY_POINTS_324:0 "Patch1"
 VICTORY_POINTS_2347:0 "Patch1"
 VICTORY_POINTS_94:0 "Patch1"
 VICTORY_POINTS_2194:0 "Patch1"
 VICTORY_POINTS_744:0 "Patch1"
 VICTORY_POINTS_907:0 "Patch1"
 VICTORY_POINTS_9:0 "Patch1"
 VICTORY_POINTS_354:0 "Patch1"
 VICTORY_POINTS_263:0 "Patch1"
 VICTORY_POINTS_354:0 "Patch1"
 VICTORY_POINTS_320:0 "Patch1"
 VICTORY_POINTS_25:0 "Patch1"
 VICTORY_POINTS_57:0 "Patch1"
 VICTORY_POINTS_42:0 "Patch1"
 VICTORY_POINTS_225:0 "Patch1"
 VICTORY_POINTS_66:0 "Patch1"
 VICTORY_POINTS_252:0 "Patch1"
 VICTORY_POINTS_270:0 "Patch1"
 VICTORY_POINTS_8:0 "Patch1"
 VICTORY_POINTS_502:0 "Patch1"
 VICTORY_POINTS_1210:0 "Patch1"

 VICTORY_POINTS_119:0 "Patch1"
 VICTORY_POINTS_33:0 "Patch1"
 VICTORY_POINTS_476:0 "Patch1"
 VICTORY_POINTS_273:0 "Patch1"
 VICTORY_POINTS_191:0 "Patch1"
 VICTORY_POINTS_222:0 "Patch1"
 VICTORY_POINTS_63:0 "Patch1"
 VICTORY_POINTS_68:0 "Patch1"
 VICTORY_POINTS_433:0 "Patch1"
 VICTORY_POINTS_258:0 "Patch1"
 VICTORY_POINTS_187:0 "Patch1"
 VICTORY_POINTS_41:0 "Patch1"
 VICTORY_POINTS_43:0 "Patch1"
 VICTORY_POINTS_52:0 "Patch1"

 VICTORY_POINTS_857:0 "Patch1"

 VICTORY_POINTS_275:0 "Patch1"

 VICTORY_POINTS_108:0 "Patch1"

 VICTORY_POINTS_74:0 "Patch1"

 VICTORY_POINTS_526:0 "Patch1"

 VICTORY_POINTS_86:0 "Patch1"

 VICTORY_POINTS_79:0 "Patch1"

